apparence, aspect, photo ;hanus hanuu-n (2) ;hanue hanuu-n ;hanu. hanuu-n ;hanu, hanuu-n ;hanur hanuu-n 
rester ensemble ;moo hiiphd ;moo hiihé ;moo hiipmo ;moo hiimo ;moo vugu 
réunion ;na-hi iphdi ;na-hiihdi ;na-hipmoon ;na-imoon ;na-vugun 
se réunir ;hmapeh Lii ;hmaveltii ;hmapehlii ;hmavelii ;pe-thaivi (Y) 
rassembler ;na~-hiiphdi (7) ;na-hiihdi ;na-hipi ;na-hivi ;thaivi (y) 
se rencontrer ;pe-bani (T) ve-bani (0) ;pe-bani ;pe~bani/ pe-taki ;pe-bani ;pe-teviiny 
visiter, rendre visite ;saavi ;thuuya-n yek ;teki ;texi ;cexi 
se rendre visite ;pe-vigu (7) ;;;pe-vigu ;pe-vigu 
se disperser (aprés une réunion) ;thiu (?) ;thiu ;thivu ;thiu ;thiu 
aller chacun de son coté ;vataan han (T) ;varaan hen ;vataan hngen ;varaan hen ;varaan hen
tout seul (postverbe) ;gaahethd (7) ;gaaerhd ;gahatno ;gaaeno, gaaeno-i ;hada 
ensemble (postverbe) ;hiiphad ;hiihd ;hi ipmo ;hiimo ;vugu 
a part, 4 l'écart, différent (postverbe) ;hyele (Tf) hele (0) ;hyele ;hyele ;hyele ;hyele 
pas 14, absent (en parlant de quelqu'un) (+ personnel objet) ;cie (sang) ;.cie Cyek) ;cie (ek) ;cie (ek) ;cie (ek) - 
perdu (quelque chose) ;cian ;cien ;cien ;cien ;cien 
perdre ;pa-cian-i ;pa-cien-i ;pa-cien-i ;pa-cien-i ;pa-cten~i 
ciel ;dawec (T) poa (0) ;poa ;dawe ;poa ;poa 
nuage ;neeny ;neeny ;neeny ;neeny ;neeny 
ombre (d'un nuage) ;boom ;boom ;boom ;boom ;boom 
ombre portée, son ombre ;den, deni-n (Tf) ;den, deni-n ;den, deni-n ;den, deni-n ;den. deni-n 
sombre, obscur, ténébres ;uten ;uren ;uten ;uren ;uren 
jour, lumiére, clair ;mala ;mala ;mala ;mala ;mala 
soleil ;hnegat ;hnegat ;hnegat ;hnegat ;hnegat 
brillant, scintillant ;halaan (7) ;halaan ;halaan ;halaan ;halaan 
son éclat ;;haaloome-n ;haaloome-n ;haaloome-n 
rayon de soleil ;daadiin (2) ;daahliin hnegat ;daaliin hnegat ;daaliin hnegat 
apparaitre, pointer (soleil) ;;;thiraalap 
se lever (astre) (= ouvrir les yeux) ;noot (T) ;noot ;noot ;noot (Tendo) noon (Bas—Coulna) ;noon 
se coucher (astre) (= rentrer dans un trou) ;utip (Z) ;urip ;utic ;uric ;uric 
aube ;;;mairaan ;mamayeraan (Y) mavayeraan (W) 
matin ;gaagen ;gaagen ;gaahwaak ;gaawaak ;gaahwaak (Y) gaaook (W) 
midi ;goon-kat ;goon-kat ;goon-kat ;goon-kat ;go-xat (Y) goon-kat (W) 
aprés-midi ;ketae-goon-kat (T) ;kerae-goon-kat ;ketae-goon-kat ;kera(x)e-goon-kat ;keyae-goon-kat 
erépuscule ;phiny gan-toot (Tf) phOny gan-yaat (0) ;finy gan-hneny ;ge-pue-huk ;ge-pue-huk ;ge-pue-huk 
soir ;bale-gen (7) ;bare-gen ;bateap ;bareap ;bareap 
nuit ;gen ;gen ;gen ;gen ;gen 
minuit ;dagoon-gen (T) ;dagoon-gen ;dagoon-gen ;dagoon-gen ;nininya (Y) dagoon-gen » ninia (W)
lune ;phwé ;fue ;pmwe ;pmwe ;hwanuk kaden-hwanuk 
lune décroissante ;kadan-phwé (7) ;kaden-fwé ;;kaden-pmwe 
pleine lune ;phwé-cilak (2) ;;;pmwe~ci lek tago-pmwe ;tago-hwanuk 
premier quartier de lune ;tago-phwé (T) 
nom de deux femmes assises sur la lune (on dit qu'elles tres- sent une natte) ;pwan-thuk ma pwan- hwatak (T) ;;;pwen-thuk ma pwen- hwarak 
étoile ;thanik (2) thanec (0) ;thanik ;piuk ;piuk ;piuk 
Mars ;tha-yaak (Tf) ;;;pi-yaak ;pi-yaak 
voie lactée ;hinan-makat (7) ;;;hin-maxat ;ceen-maxat hin-taan 
@toile du matin ;hinan-mala (TP) ;hin-mala ;;hin-taat 
Pléiades ;tho-man-hyaok ;;hno-men-hyaok ;karin men kanyaamwen ;karin men kanyaamwen 
Baudrier d'Orion (constella~ tion) ;nyin-hweet ;;;nyin-hweet ;nyin-hweet (W) 
nom d'une grosse étoile ;ka-hyakute gen (2) ;;;ka-hyaxure gen 
premiére étoile du soir ;koi cacn (T) ;;;koi ca-n ;koi ca-n 
jour fixé, date ;manaan (T) ;manaan ;manaan ;manaan ;manaan 
sa date ;geni-n ;;geni-n ;geni-n ;geni-n 
fixer (une date) ;thai (vin mala) (7) ;thai (veli mata) ;thai (geni-n) ;thai (veli mala) ;sai (geni-n) 
aujourd'hui ;nangena ;nangena ;vin mala-da ;ven mala-da ;nei mala-ja 
hier ;thénegen ;thénegen ;tnen-gen ;tnenegen ;th€nebwen (Y) tnenebwen (W) 
avant-hier ;gen haluk (7) ;gen heluk ;gen heluk ;gen heluk ;gen seluk 
demain ;negaagen (7) nekoyahan (0) ;nekoeahen ;nehwaak ;newaak ;nehwaak (Y) naook (W) 
aprés-demain ;halu geni-n ;helu geni-n ;tnevehna ;tnevena ;thénaa (Y) tnenaa (W) 
maintenant, tout 4 l'heure (avenir tout proche) ;nangena ;nangena ;hna/ hna nga ;hna/ hna nga ;hna/ hna mwa 
une fois, un beau jour ;... thé vi heec ;¢ ... (T) hé veli heec ;ne vi heec ;ne vi heec ;le di seec 
autrefois, jadis ;hunge ;hunge ;hunge ;hunge ;hula 
un jour (a venir) ;thé va hee mala (7) ;ne vera hee mala ;;ne va hee mala ;le ya see mala 
tout a l'heure (passé immédiat) ;bilik (7) ;jilik ;jilik keyai-n, keyae- ;jilik ;jeling 
aprés, ensuite ;ketai-n, ketae- (7) ;kerai-n, kerae ;ketai-n, ketae~ ;kerai-n. kera(xde- 
toujours (postverbe) ;hnahna (7) ;pajeen ;pajeen ;pajeen ;pajeen 
sa durée (= sa longueur) ;dahma-n (T) ;dahme-n ;dahma-n ;hwaye-n ;hwaye-n 
il met longtemps 4 (faire quelque chose) ;;gahlii yek ;pmwanenge-n ;pmwanenge-n ;pwenyange-n 
quotidiennement ;tacina (2) ;taina ;;teejai ;teejai 
tous les jours ;vhine mala (T) ;vhine mala ;sopwen mala ;ne ngen mala/ knoon mala ;le deeni mala 
habituel ;hyahmang ;hyahmang ;hyahmang ;hyamang ;hyamang/ kh@hnyawaat (Y) hyamang/ kneyewaat (W) 
dimanche ;po-hitei ;po-hiri ;ma-hiti ;po-iri ;hirei 
lundi ;ketae-po-hitei (2) ;kerae-po-hiri ;ketae-ma~-hiti ;kera(x)e-po-iri ;hwaaxe-hirei 
mardi ;nim po-hitei (7) ;nim po-hiri ;nim ma-hiti ;nim po-iri ;nim hirei 
mercredi ;hovac po-hitei (2) ;fovec po-hiri ;phovec ma-hiti ;phoec pe-iri ;phoec hirei 
jeudi ;hiyen po-hitei (2) ;heyen po-hiri ;heyen ma-hiti ;heyen po-iri ;seen hirei 
vendredi ;haluk po-hitei (7) vahiit (0) ;vahiit ;heluk ma-hiti ;heluk po-iri ;seluk hirei 
samedi ;savato ;savato ;heec ma~hiti ;savato ;savato (Y) heec hirei (W) 
moment, &poque ;wataun (T) ;waraun ;waden ;waraun/ waden ;waraun (Y) waraun/ waden (W) 
heure ;hin-hnegat (T) ;hin-hnegat ;hine-n hnegat ;hin-hnegat ;hin-hnegat 
année ;tok ;tok ;dak ;tok ;jak 
mois (= lune) ;phwé ;twa ;pmwe ;pmwe ;hwanuk 
janvier ;;;;degerua ;bwau hyen (W) 
février ;;;;kugec ;bwau hwii (W) 
wars ;;;;caawe ;saao_ (Ww) 
avril ;;;;pmwe uren ;pwé paik (W) 
mai ;;;;pmwe mala ;pwé ralo (W) 
1 ces noms sont actuellement en désuétude, Les deux listes, ennemi 2 les qu'elles nous ont été données par nos informateurs: Mr Tein Hunin pour le nemt 2 (Bas-Coulna) et Mr Jérome Dunoot pour le jawe de Wevia.;;et en jawe de Wevia, ne sont pas concordantes. Nous les repraduisans tel- 
juin ;;;;pmween tha-ceek pmween cebicebi ;pwé mala (W) cebicebi (W) 
aout ;;;;mamada ;phapo (W) 
septembre ;;;;mamada koot ;phayabela (W) degerua (W) 
octobre ;;;;mamada po-vaik pmween ka~tebwic ;kayuwa (W) 
décembre ;;;;kayuwa ;kayuwa phagany (W) 
saison froide (mai 4 aofit) ;makat (T) ;maxat ;makat ;maxat ;maxat 
saison de ignames (juillet 4 septembre) la plantation des ;hotat (7) ;horat ;hotat ;horat ;horat 
saison des grosses chaleurs (novembre 4 février) ;wanit (7) ;wénit ;wénit ;wénit ;wénit 
saison des pluies, des cyclo- nes, des grandes marées (mars, avril) ;kuciuk (7) ;kuyuuk ;kuciuk ;kuyiuk ;kuyiuk 
saison de gnames (février, mars) la récolte des i- ;;huuda ;;huuda ;cani kbic huuda (W) (Y) 
temps atmosphérique ;mae-daan (T) ;mae-daan ;maye-daan ;maye-daan ;maye-daan 
vent ;daan ;daan ;daan ;daan ;daan 
souffler (vent) ;thai (Tf) ;that ;thai ;thai ;thai 
cyclone ;hyaadaan (T) bothe (T) ;hyaadaan ;thai-daan ;thai-daan ;thai-daan 
temps froid ;;borhep ;bothe ;bore ;bore 
temps caime, paisible ;kadep ;kadep ;kadep ;kadep ;kadep 
calme, paisible ;hangom (2) ;;hangom ;hangom ;hangom 
tourbillon de vent ;da-phwenu (T) ;haveleyaut ;hmwaup ;haveleaut ;haveleaut 
rafale, coup de vent ;vhiye-daan (7) ;vhiye-daan ;fiye-daan ;fiye-daan ;diny (Y) phiye-daan (W)} hyu-sao 
retour de cyclone (casse tout) ;hyu-thawa ;hyu-thawa ;hyu-thawa ;hyu-rawa 
embraser (action du vent) ;;;;ururuui 
vent du nord-ouest ;da-hwayavec (7) ;da-hwayavec ;;da-hwayavdec ;da-hwayaec/ deeny (Y)
vent du nord ;yavec ;yavec ;;yavec ~ yaec ;yaec 
vent du sud ;hwabataan ;wabaraan ;;wabaraan ;wabaraen 
vent du large, vent d'est ;depatuut ;devaruut ;;devaruut ;devayuut 
brise de terre ;dawe wa-daan (7) ;dawe ;;dawe ;dao [daa] 
vent Léger ;;;;wa-daan ;wa-daan 
temps frais, venteux (4 l'époque des plantations) ;daum (T) ;;;daum ;daup (Y) 
pluie, pleuvoir ;kut ;kut ;kut ;kut ;kut 
goutte de pluie ;pwan-kut ;pwen-kut ;pwen-kut ;pwen-kut ;" pwen-kut 
tonnerre ;niuk ;niuk ;niuk ;niuk ;niuk 
éclair ;mianoot ;hnyonim ;pipmalaam ;hnyonim ;hnyonim 
brouillard ;saahmat (T) ;saahmat ;thoophmwaak ;saamat ;kathek (Y) karek (W) 
rosée matinale ;;we-hyabut ;pmowe ;pmoe 
arc~en-ciel ;pwalalu ;pwalatu ;pwalaluk ;pwalaluk ;thuyaa belep 
bleu, vert ;phany ;finy ;pmuny ;pmuny ;phany (Y) pmuny (W) 
rouge (= mir) ;magat ;magat ;mia ;mia ;mia 
blanc ;hulo ;hulo ;pulo ;pulo ;pulo 
noir ;vhiing ;vhiing ;nyuup ;phom ;phom 
jaune vif ;kari (2) ;kari ;kari ;kari ;kari 
couleur brune, pourpre (= fané, séché) ;bang (7) ;bang ;bang ;bang ;bang
terre ;guc ;guc ;guc ;guc ;guc 
par terre ;le guc ;le guc ;le guc ;le guc ;le guc 
sol . ;gan-guc ;gan-guc ;bwan-guc ;bwan-guc ;bwan-guc 
boue, terre ;dilic (2) ;dilic ;dilic ;dilic ;dilic 
argile 4 poterie ;guc magat ;dili magat ;gu-mia ;gu-mia 
terre rouge ;gunu (0} ;dili vhiing ;gunu 
poussiére ;hmuun-guc ;hmuun-guc ;hmuun-gue ;hmuun-guc ;hmuun-dilic (Y) hmuun-guc (W) 
pierre ;paik ;paik ;paik ;paik ;paik 
pierre de (quelque chose) ;pae~ ;pae- ;paye- ;paye- ;paye- 
quartz ;wan-khét (7) ;pa-hajing ;pa-ngajing ;pa-majing 
pierre chromée ;wawe (0) ;pa-ngenya ;pa-ngenya ;pa-ngenya ;themii (W) 
galet de riviére ;pa-kalapa (7) ;pa-thap ;pa-kalava ;pa-kalava (W) 
serpentine ;pa-gi (0) ;wanyanya ;hiive ;pamhiie ;paeyek (Y) paeyec (W) 
pierre ponce ;heehma ;heehma ;heema ;hmuma 
schiste, pierre tendre ;pa-guc (T) ;;pa-guc ;pa-guc (W) 
pierre qui brille comme du verre ;;;;wenido 
pierre de montagne (servant de pendentif) ;;;piyu ;piyu 
rochers calcaires (comme ceux de Hienghéne) ;the ;the ;tne ;tne ;thé (y) tne (W) 
argile micacée, terre blanche ;;thaeek ;;thaeny (Y) 
chaux ;;kharo ;xhato ;kharo ;kharo 
vieux récif (d'ol l'on extrait la chaux) ;;haaga 
corail dur d'Tlot ;phoop (0) ;foop ;;phoop (Y)
patate de corail ;;pailek ;;;pailek (Y) hoony (Y) 
corail rouge ;hoony (0) ;hoony ;;;det 
tube de corail mort ;wan-det (Tf) det ;wa-det (0) ;dao ;wan-det 
tle ;dau ;dau ;doou ;dau ;dau 
Tlot ;yeen ;yeen ;doou ;yeen ;yeen 
Tlot d'alluvions ;;gaheiny ;;yee-gugunic ;yee~gugunic (Y) 
cap ;mamaan ;mamaan ;mamaan ;mamaan ;mamaen 
plaine, endroit plat ;dac ;dac ;dac ;dac ;dac 
vallée (= grande riviére) ;daahoot ;daahoot ;daahoot ;daaoot ;jaaoot 
brousse, steppe ;toot ;hneny (T) ;hneny/ hne-made ;hneny ;hneny 
forét ;kuc ;kuc ;kuc ;kuc ;kuc 
clairiére ;hwan-dawec (Z) ;hwan-dawec ;;hwan-dawe ;hwan-daoc 
pente, colline, hauteur ;;hogec ;hogec ;hogec ;hobwec 
haut ;yaka (Tf) ;yaxa ;yaka ;yaxa/ pwiep ;pwiep 
montagne ;duat ;duet ;duet ;duet ;juet 
sommet de montagne ;gan-duat ;- gan-duet ;bwan-~duet ;bwan-duet ;bwan- juet 
ramification de montagne ;hin-duat ;hin-duet ;hin-duet ;hin-duet ;hin- juet 
chafne de montagnes ;ceen-duat ;ceen-duet ;ceen-duet ;ceen-duet ;ceen-juet 
chaine centrale ;ceen-duat hun (2) ;ceen-duet hun ;;paye ;paye 
col de montagne ;hwaano hwadaang (0) (Tf) ;kaa-teu ;hwaano ;hwaano/ weding ;weding 
petit col ;;pue-noot ;;pue-noot 
nom de plusieurs cols de la région de Coulna ;phanook (2) ;fanook ;pmanook ;pmanook 
trou ;hwa waak (T) ;hwa ;hwa ;hwa ;hwa waak 
fissure, terre fendue ;;waak ;waak ;waak 
dépression, creux ;phwam ;fwam ;;pmwam ;phwam (Y) 
trou creusé par l'eau ;phutua (7) ;fulua ;tagaluk ;phulua ;phulua 
anfractuosité dans rocher (oli se cachent les anguilles) ;jiphaden (7) ;;mahna ;mana ;mana
érosion (due au courant de l'eau) ;tan-guc (T) ;nyaak ;nyaak ;nyaak ;nyaak 
éboulis (de pierres) ;hmoony (Ff) ;hmoony ;hmoony ;hmoony ;hmoony debo 
éboulement (de terre) ;dana (Tf) ;dana ;dana ;dana 
s'€crouler (mur) ;tabo (T) ;tana/ tabo ;tana ;tana ;tebo 
tas de cailloux ;guun-paik (2) ;kae-thai paik ;;;gulu (¥) 
grotte ;kale~paik (T) nga-paik (0) ;kare-paik/ nga-paik ;nga-paik ;nga-vaik ;nga-vaik 
écho ;divhaadik ;divhaadik ;difaadik ;diaadik ;diaadik 
route ;s@édan (T) hwadan (0) ;séédan ;cneedan ;cneedan ;hwaaran 
sentier ;hin-s@édan (T) ;hin-seédan ;hin-cneedan ;hin-cneedan ;hin-hwaaran 
grande route ;;peyeng ;cneedan hun ;peyeng | ;peyeng 
tournant, virage ;kae-thewei-en (7) ;kae-thewei-en ;kave-teejii ;kave-teejii ;hman-teejiu 
croisement, carrefour ;hmapehlii s@@dan (7) ;kaa-pe-pii séédan ;kapiye-cneedan ;hwan-cneedan ;hwan-hwaaran 
loin ;hoot ;hoot ;hoot ;hoot ;hoot 
prés ;ngengeno ;ngengeno ;ngengeno ;ngengeno ;suk 
a cdté de lui ;le vhila-n (7) ;le vhile-n ;te file-n ;le file-n ;le phile-n 
auprés de lui ;haa-n (Tf) ;haa-n ;haa-n ;haa-n ;haa-n 
ici (proche du locuteur) ;tha ;rha ;tha ;rha ;sa 
1la-bas (de l'autre c6té) ;kohan ;kohen ;kohngen ;koen ~ xoen ;caen/ canaac 
1a-bas (anaphorique) ;thang ;lek ;lek ;lek ;lek 
en bas, vers la mer, ;en aval koadip ;kodip ;kodic ;kodic ~ xodic ;cadic/ cawiina 
en haut, vers L'intérieur, en amont ;koda ;koda ;koda ;koda ~ xoda ;cada/ canao 
devant, premier ;hnaut (7) hnauk (0) ;hnaut. hnaule-n ;hnauks hnauke-n ;hnaut. hnaule-n ;hagut. hagule-n 
en face de lui ;;le hamwe-n ;le hamwe-n ;le hamwe-n ;le hamwe-n 
derriére, aprés ;khat, khitla-n (7) ;khats khile-n ;knuts knule-n ;knut,s knule-n ;khat, khale-n (Y¥) knut, knule-n (W) 
& sa suite, derriére lui ;tai-n ;tai-n ;tai-n ;tai-n ;cai-n
au milieu d'eux ;dawee-te (T) ;dawee~te ;dawee-le ;dawee~Le ;dace-le/ poaa-le (Y) poaa-le (W) 
au milieu, 4 L'intérieur de quelque chose ;le ne-n (2) ;le ne-n ;le ne-n ;le ne-n ;le ne-n 
dedans ;thé-n ;rhé-n/ hé-n ;;;re-n
Nord ;hwan-th&n-nga ;hwanen-nga 
Sud ;mae-nga ;mae-nga 
eau ;we ;we ;we ;we we nem ;we 
eau douce ;duu we ;duu we/ we nem ;we neha ;;jue-we (Y) we-nem (¥W) 
source ;we cagat (T) kae-waada we (0) ;we caget ;we caget ;we caget ;we cabwet 
cascade ;beng ;beng ;kave-tapwa-en we ;beng ;beng 
creek, ruisseau ;pwac ;pwec ;pwec ;pwec ;pwec 
lac, étang, (eau stagnante) ;dan (Tf) ;dan ;dan ;dan ;dan 
flaque d'eau ;;wa-vhiye-we 
trou d'eau (dans riviére) ;we hun/ we nigi (7) ;we hun/ we nigi ;we hun/ we nigi ;we hun/ we nigi ;we nim 
cuvette naturelle dans rocher ;we tago/ we thaboden (T) ;jihto ;jihlo ;Jilo ;jilo 
endroit privé (dans un cours d'eau) ot l'on puise son eau ;kae~khiiduk (T) ;kaa~khiduk ;kave-knuduk ;kave~knuduk ;hman-khiiduk (Y) hman-knuduk (W) 
puits ;kae~-kupi ;kaa-kuvi ;kave-kupi ;kave~kuvi ;hman-toi 
grande riviére (= vallée) ;daahoot ;daahoot ;daahoot ;daaoot ;jaaoot 
fond de la vallée ;kuun-daahoot ;kuun-daahoot ;kuun-daahoot ;kuun-daaoot ;kuun-jaacot 
baie, embouchure ;hwan-daahoot ;hwan-daahoot ;hwan~daahoot ;hwan-daaoot ;hwan-jaaoot 
lit de la riviére ;gaahioot (T) ;gaaioon/ ceen-we ;gaahioot ;gaaioot 
berge, rive ;jele-we (7) ;jere-we ;jere-we/ jere~daahoot ;jere-we/ jere-daaoot ;jere-jaaoot 
passer 4 gué ;hyaat cagaat (0) (7) ;cagaat ;hyaat ;cagaat ;cagaat 
pont en bois (flottant) pour traverser un cours d'eau ;;hovalep ;jobalek ;jobalek ;jobalek 
quai en ciment ;woom (Tf) ;woom ;;woom ;woom 
courant de l'eau ;duun-we ;duun-we ;duun-we ;duun-we ;duun-we 
inondation ;davac ;davec ;davec ;davec ~ daec ;jaec 
monter (eau) (= enflé) ;higuk (we) ;higuk (we) ;higuk (we ;higuk (we) ;higuk (we) 
emporter 4 la dérive ;te-vhe (Tf) tavi (0) ;te-vhe ;te-fe ;te-ve v te-e ;ngee-n (qqch,) ngee-ek (qq 'un)
bois roulés apportés par 1'inondation ;;;;khoelo ;koelo (¥) 
débris divers, épaves appor- tées par L'inondation ;dodaba (T) ;dodaba ;dodaba ;dodaba ;jojaba 
mer, eau salée ;dalik ;dalik pareman ;dalik ;dalik ;jalik pareman 
bord de mer ;pareman ;;pareman ;pareman 
au bord de mer (locatif) ;;;;talik ;calik 
sable ;kon ;kon ;kon fiye-datik ;kon ;kon 
vague ;vhiye-dalik (2) ;ngen-dalik ;;fiye-dalik ;phiye-jalik 
déferler (vague) ;yaat (T) ;;yat ;yat 
tourbillon d'eau ;hwan-phwéphwénit (7) hwan-phwéphwaning (0) ;hwan-féénit ;hwan-pmwepmwening ;hwan-pmwemwenic ;hwan-bwebwening 
raz de marée ;hohot (2) ;hohot ;;hohot ;hohot 
écume ;fufujo ;fujo ;fufujo ;phuvujo ;phuvujo 
marée basse ;kumaac ;kumaac ;mat ;kumaac ;kumaac bwan-kumaac 
pleine marée basse ;gan-~kumaac ;gan-kumaac ;;bwan~-kumaac 
marée basse le matin ;hon-maac (0) ;hon-maac pwiyap took 
marée basse le soir ;pwiyap (0) ;;;;pwiyap (Y) 
marée haute le matin ;took (0) ;;wop ;;jook (Y} 
marée montante ;wop ;wop ;;wop ;wop 
marée étale ;;thiu wop ;;thiu wop 
marées d'équinoxe ;kuciuk (7) ;kuyuuk ;kuciuk ;kuyiuk ;kuyiuk 
récif, platier récifal ;maac ;maac ;pwajan ;maac ;maac 
grand récif barriére ;;ma-gahlia jing ;;;palavu (Y) 
cuvettes sur le platier ré- cifal (on péche dedans 4 marée basse) ;Jing ;;;jing ;jing 
a terre, au sec ;;faac ;pmaac ;pmaac ;phaae (¥) pmaac {W)
le fond de l'eau ;pwiye-we (T) ;pwiye-we ;pwiye-we ;pwiye-we ;pwiye-we 
profond ;nigi ;nigi ;nigi, ;nigi ;nim 
bruit de l'eau ;gaan-we (T) ;gaan-we ;gaan-we ;gaan-we ;gaan-we 
couler (riviére) ;hye (we) (7) ;hye (we) ;hye (we) ;hye (we) ;tho (we) 
s'écouler (bave, miel) ;koot (T) ;koot ;koot ;koot ;koot 
se répandre (liquide) ;vayalati 
goutter, couler goutte 4 goutte ;pwat (T) théép (0) ;pwat ;pwat ;pwat ;pwat 
douce (eau) ;nem (ou nam ?) nam (0) (T) ;nem ;nem ;nem ;nam (Y) nem (W) 
saumatre ;;;nemehe Luk ;cnamacnan ;samasa (Y) samasan (W) 
claire, limpide (eau) ;maloom (T) bwanganu (0) ;maloom ;magano ;maloom/ hwadok ;maloom (Y) hwadok/ maloom (W) 
trouble, limoneuse (eau) ;pulaak ;pu Laak ;pulaak ;pulaak ;pulaak 
reflet sur l'eau (huile ou mazout) ;;panimen ;;panimen 
mouillé ;moguk ;moguk ;moguk ;moguk ;bela (Y¥) moguk (W) 
humide, un peu pourri, qui s'effrite ;many (T) ;munya ;munya ;munya ;munya 
sec, asséché (cours d'eau) ;mayuk ;man ;mat ;man/ mat ;man 
sec (linge) ;yabwat ;yabwat ;yabwat ;yabwat ;yabwat 
sec, desséché (ex. fruit) ;mayuk ;mayuk ;mayuk ;mayuk ;mayuk
oiseau ;manik ;manik ;manik ;manik ;manik doo-n hwa-n (Y) doo~n a-n (W) 
son bec ;pae-hwa-n ;paa-hwa-n ;duruve-hwa-n ;doo-n hwa-n 
alle, son aile ;hi-n manik/ pun-hi-n ;hi-n manik/ pun-hi-n ;hi-n manik ;hi-n manik/ pun-hi-n pun-manik/ puni-n ;hi-n manik pun-manik/ puni-n 
plume, sa plume (= son poil) ;pun-manik/ puni-n ;pun-manik/ puni-n ;pun-manik/ puni~n ;pun le tne-n ;pun le khé-n (Y) pun Le kne-n (W) 
sa queue (coq) ;pun te tha-n ;pun le thé-n ;pun le tne-n 
créte, sa créte ;dimwaa-n (fT) dahno (0) ;dimwaa-n ;dimwaa-n ;dimwaa-n ;dimwaa-n 
oeuf, son oeuf, oeuf de- ;vhis vhii-ns vhiye- ;vhis vhii-ns vhiye- ;fi. fii-n, fiye~- ;fi, fii-n, fiye- ;phi phii-n, phiye- 
voler (oiseau) ;theén (7) ;th8dn ;tneen ;tan ;tan 
planer ;hoowe (2) ;hoowe ;howe ;hooe ;hooe 
se poser, atterrir ;hno (T) ;hno ;hno ;hno ;hnyo 
perché (= assis) ;tago (T) ;tago ;tago ;tago ;tago 
couver un oeuf ;tago o vhi (T) ;tago o vhi ;tago o fi ;tago o fi ;tago xe phi tee-bii phi 
éclore ;taa-bii vhi (T) ;taa~bii vhi ;tee-bii fi ;tee-bii fi 
chanter (oiseau) (= appeler) ;tho (2) ;tho ;tho ;tho ;tho 
chant d'oiseau ;thoo-n manik (2) ;thoo-n manik ;thoo-n manik ;thoo-n manik ;thoo-n manik 
nid ;nga-n manik (7) ;mweap, mweau-n ;ngeam ;ngeap, ngeau-n ;ngeaps ngeau-n 
faire un nid ;;po~mweap ;hya-ngeap ;po-ngeap 
pétrel (oiseau de nuit, niche dans des terriers) ;nyinep (T) inep (0) ;nyinep ;nyinep ;nyinep ;nyinep 
goéland ;gun ;gun ;gun ;gun ;gun 
frégate, Fregata artel artel (annonce le cyclone) ;ka-yaaidaan (7) yaaida (0) ;yaaidaan ;ka-yaaidaan ;yaaidaan ;yaaidaan 
bécassine sp. ;ditiin (0) ;divhiing ;;diik (Y)
mouette, Larus sp. ;;gu-hyaago ;;;gunyago (Y) 
paille-en-queue, Phaeton lep- turus dorotheae ;;gun le thé 
fou, Sula sp. ;;thefwanawe ;;;thepwanaa (Y) 
oiseau de mer noir ;;kheny le dalik ;;;khiny le jalik (y) 
oiseau de mer (blanc sous le cou) ;;thayavec 
oiseau des sardines) de mer blanc (mange ;;khdle ;;;khdte (yY) 
long cou, Ardea sacra alboli- neata ;gahlia noo-n/ khdéva ;khddva ;knaok ;knoova ;khddk 
héron gris des riviéres, Ardea novaehollaniiae nana ;khédva ;khddva ;knaok ;knoova ;kh88k 
héron de nuit, Nyetteorax ealedonteus caledontcus ;hna ;hna ;hna ;hna ;hna 
canard, Anas superciltosa pelewensts ;xaahoot (7) ;nia ;aahoot ;aaoot ;niang (Y) nia (W) 
aigle, Haltastur sphenurus ;bwaaholee ;bwaaholee ;bwaaholee ;bwaaolee ;bwaaholee (Y¥) bwaaolee (WwW) 
autre nom de lL'aigle ;bwae/ bwae-phada (0) ;bwae ;;;bwae/ bwae-mada 
buse, Cireus approximans ap- prouimans ;ka-tabe-hyalek (7) ding (0) ;dik/ ka-tabe-hyalek ;deny/ ka-tabe~hyalek ;deny/ ka~tabe-hyalek ;deny 
épervier, Acetpiter fasctatus vigtlax ;;dik ;ma-cii-n niwd ;ma-cii-n niwa ;de-cii-n dimwa 
buse de mer, Pandion haltaetus melvtllensts ;jtok ;jrok ;itok ;irok ;irek irok (Y) (W) 
faucon, Falco peregrinus nestotes ;;bwae ka theo ;;;kaci (Y) 
épervier 4 ventre blanc, Acct- ptter haplochrous ;haamejava (T) ;kheny ka-tabe-manik ;haame java ;haamejaa ;deny-khiny (Y) haamen (W)
oiseau de proie (non identifié) ;yum (0) 
chouette, Tyto alba lifuensts ;mwen ;mwen ;mwen ;mwen ;mwen 
corbeau, Corvus monedulotdes ;hwahwak (2) hwafwap (0) ;hwahwak ;hwahwak ;hwawak ;hwaak (Y) hwaok (W) 
rale, Rallus phtlippensis suindellsat ;pik ;pik ;" pik ;pik ;pik 
marouette, Porzana tabuensis tabuensts (ou autre rale 7?) ;;;;hyola ;hyola 
poule sultane, Porphyrto porphyrto caledontcus ;khiik (7) heak (0) ;heak ;kniik ;kniik ;hyaek 
oiseau marcheur (non identif1é) ;;;;karo le pmu 
cagou, Rhynochetos jubatus ;kauwo ;kauok ;hmwanginy ;kauok ;hmwanginy 
poule domestique ;hyaLlek ;hyalek ;hyalek ;hyalek/ ho ;ho 
cog ;hyalek kayuk ;;;hyalek kac/ ho kac 
